phi theta x y z pt prodx prody prodz t pid
1.54096 0.37967 30.14000 2.08549 -60.90903 0.00221 29.80334 -1.47174 -169.23000 1.41026 11
1.73019 0.20174 30.14000 1.54261 -58.44613 0.00221 29.80334 -1.47174 -169.23000 1.43381 11
-0.14785 0.75652 -22.76232 -19.89744 -64.29087 0.00332 -25.39300 -7.54736 -150.21000 1.40520 11
-1.22344 1.00292 -22.55611 -20.10364 -63.90834 0.00332 -25.39300 -7.54736 -150.21000 1.40721 11
-0.47805 1.17085 -21.99407 -20.66569 -63.62957 0.00332 -25.39300 -7.54736 -150.21000 1.41032 11
-1.38915 1.29419 -22.01262 -20.64713 -34.80849 0.00332 -25.39300 -7.54736 -150.21000 1.56217 11
-0.11710 1.36693 -21.09931 -21.56044 -34.53911 0.00332 -25.39300 -7.54736 -150.21000 1.56731 11
2.11145 0.50228 -25.53929 -17.16763 -64.62828 0.00828 -30.49223 -10.55290 -183.01001 1.19265 11
1.53990 0.66059 -24.11018 -18.54958 49.47941 0.00828 -30.49223 -10.55290 -183.01001 1.63453 11
2.98068 0.80633 -26.02851 -15.98655 53.94124 0.00828 -30.49223 -10.55290 -183.01001 1.65375 11
0.71726 1.02064 -24.69479 -19.20645 60.54167 0.00828 -30.49223 -10.55290 -183.01001 1.68997 11
1.12222 1.17876 -24.16455 -18.49521 60.95866 0.00828 -30.49223 -10.55290 -183.01001 1.69330 11
-2.83936 1.27702 -26.51754 -14.80594 63.19038 0.00828 -30.49223 -10.55290 -183.01001 1.71272 11
2.84974 0.81395 -25.55715 -17.18962 -64.38355 0.00828 -30.49223 -10.55290 -183.01001 1.19573 11
-1.01330 1.66447 -2.12608 -30.16500 -64.11932 0.00166 -1.14830 -28.41053 -161.25000 1.38545 11
1.03695 1.55595 0.36677 -30.16500 -64.24435 0.00166 -1.14830 -28.41053 -161.25000 1.39605 11
-2.01143 0.79233 -2.30423 -30.16500 -63.56765 0.00166 -1.14830 -28.41053 -161.25000 1.41094 11
1.83958 0.67474 -0.57593 -30.16500 -60.06859 0.00166 -1.14830 -28.41053 -161.25000 1.42800 11
2.96988 0.70456 -1.91540 -30.14000 -56.77422 0.00166 -1.14830 -28.41053 -161.25000 1.44493 11
-0.55509 2.04860 -2.60139 -30.16500 -57.42144 0.00166 -1.14830 -28.41053 -161.25000 1.47706 11
0.80774 1.51460 -1.58094 -30.16500 -57.75653 0.00166 -1.14830 -28.41053 -161.25000 1.48144 11
-2.15601 0.84308 -3.07808 -30.16500 -57.29433 0.00166 -1.14830 -28.41053 -161.25000 1.49161 11
2.10040 1.19884 -2.26984 -30.16500 -55.60559 0.00166 -1.14830 -28.41053 -161.25000 1.50413 11
-0.81722 1.06125 -22.00834 20.65141 -63.98823 0.00166 -20.39329 19.81389 -161.25000 1.33964 11
-2.95590 0.99652 -21.77109 20.88866 -58.70061 0.00166 -20.39329 19.81389 -161.25000 1.36019 11
